Contato Samsung;E-mail/Site:;4004-0000 - capitais e grandes centros, 0800-124-421 demais cidades e regiões



Nome;Celular Smartphone Samsung Galaxy J5 Duos J500M Dourado - Dual Chip, 4G, Tela 5, C�mera 13MP + Frontal 5MP com Flash, Quad Core de 1.2 Ghz, 16GB
Preco;799,90
Diferencial;C�mera frontal com Flash
Modelo;J500M
Marca;Samsung
Cor;Dourado
Tamanho da Tela;5.0
Resolu��o de Tela;720 x 1280 (HD) Super AMOLED
Megapixels da C�mera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da C�mera Frontal;5 MP
Flash Frontal;Sim
Resolu��o do Video;FHD (1920 x 1080) @30fps
Processador;Quad Core 1.2 GHz
Mem�ria Interna;16 GB
Mem�ria Expans�vel At�;128 GB
Mem�ria RAM;1,5 GB
Vers�o;Android
Bateria;2600 mAh
Capacidade de Chip;Dual Chip
Possui TV?;N�o
Conex�o Internet;4G
Tipo de C�mera;Frontal e Traseira
Altura;14.21 cm
Largura;7.18 cm
Comprimento;7.9 cm
Peso;146 g
Garantia;12 meses



Nome;Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5" 32GB 4G Câmera 13MP - Dourado
Preco;R$ 1.249,00
Código;129543938
Código de barras;7892509089913, 7892509089876
Marca;Samsung
Modelo;SM-G610M
Cor;Dourado
Tipo de Chip;Nano Chip
Quantidade de Chips;Dual Chip
Memória Interna;32GB
Memória RAM;3GB
Processador;Octa Core 1.6 GHz
Sistema Operacional;Android
Versão;Android 6.0
Tipo de tela;LCD TFT
Tamanho do Display;5.5"
Resolução;1920x1080 (Full HD)
Câmera traseira;13MP
Câmera frontal;8MP
Filmadora;Full HD
Expansivo até;MicroSD até 200GB
Alimentação/Tipo de bateria;Bateria de Ions de Lítio de 3300 mAh
Banda;2G GSM (GPRS/EDGE) 850/900/1800/1900 3G Bandas B1(2100),B2(1900),B4(AWS),B5(850),B8(900) 3G Downlink / Uplink HSPA+ 42.2 / 5.76 Mbps 4G Bandas B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B17(700),B28(700) 4G categoria Cat. 4 4G velocidade 150/50Mbps
Conectividade;Wi-Fi, 3G, 4G
NFC;Não
TV;Não
Recursos de Chamada;Espera de Chamada, Viva Voz
Outros Recursos;1.Design sofisticado com corpo de metal de alta resistência / 2.Maior segurança e praticidade com o Leitor de Impressão Digital / 3.Rápido e potente com processador Octa Core, 3GB de RAM e 32GB de memória interna / 4.Fotos claras com cores vivas com a câmera traseira 13MP f1.9 e selfies incríveis com a frontal de 8MP f1.9 com flash LED
Conteúdo da Embalagem;1 Aparelho, 1 Carregador, 1 Cabos de Dados, 1 Fone de ouvido
Dimensões aproximadas do produto - cm (AxLxP);15,1x7,5x0,8cm
Peso líq. aproximado do produto (kg);167g
Garantia do Fornecedor;12 Meses
Referência do modelo;J7 Prime
Fornecedor;Samsung
SAC;São Paulo: 4004 0000 e outros estados: 0800 124 421
Manual de instruções;Manual de instruções;Manual de instruções;Manual de instruções;


